FDID,Fire dept name,Mail addr1,Mail addr2,Mail PO box,Mail city,Mail state,Mail zip,HQ phone,HQ fax,County
SH401,287 R/C Fire and Rescue,8616 S Highway 287,,,Corsicana,TX,75109-0655,903-874-5037,903-872-5102,NAVARRO
35007,3 Mile Corner Volunteer Fire Department/Scooba District #1,Willie Gillespi C/O 3 Mile C,78-A,,Scooba,MS,39358,662-476-8264,,KEMPER
25006,"3-G Volunteer Fire Company, Inc.",Blue RD,,PO Box 112,Glenfield,NY,13345,315-376-2135,,LEWIS
AR403,3-N-1 Volunteer Fire Department,PO Box 357,,PO Box 357,Red Rock,TX,78662-0357,512-237-2893,,BASTROP
14009,4-Communities Fire Department,PO Box 1625,,PO Box 1625,Magnolia,AR,71754-1625,870-596-2517,,COLUMBIA
82851,"421 Area Emergency Services Volunteer Fire Department, Inc.",1758 Bristol Caverns HWY,,,Bristol,TN,37620-8157,423-878-0054,423-217-1209,SULLIVAN
F2005,482 MSG/CEF Fire Department,29050 Coral Sea BLVD,,,Homestead AFB,FL,33039-1299,786-415-7400,305-224-7705,MIAMI-DADE
74004,4th District Volunteer Fire Department,30 Boyd Harvey RD,,,Jayess,MS,39641-8116,601-876-2887,601-876-2887,WALTHALL
5112,"50-210 Community Fire Department, Inc.",50 Greenleaf RD,,,Angier,NC,27501-8732,919-894-4763,919-894-7590,JOHNSTON
CJ204,7 Hickory-Morgan Fire Protection District,17508 E County Road 1400N,,,Charleston,IL,61920-8472,217-348-6881,,COLES
PT307,7 Township and Westmoreland Fire Department,510 Campbell ST,,,Westmoreland,KS,66549,785-457-3736,,POTTAWATOMIE
57050,7th Ward Volunteer Fire Department & Vermilion Parish Fire Prot. Dist. #7,20206 N LA Highway 82,,,Abbeville,LA,70510-0373,337-893-8023,337-893-8023,VERMILION
AR503,812 Volunteer Fire Department/EMS,PO Box 448,,PO Box 448,Cedar Creek,TX,78612,512-284-0747,512-601-1721,BASTROP
AA311,84 East Volunteer Fire Department,160 ACR 385,,,Palestine,TX,75801,908-729-6627,,ANDERSON
68013,9 Mile Ridge Volunteer Fire Department,PO Box 1165,,PO Box 1165,Hardy,AR,72542-1165,000-000-0000,,FULTON
21517,90 CES/CEF F.E. Warren AFB,6205 10th Cavalry AVE,F.E. Warren AFB,,Cheyenne,WY,82005,307-773-2931,307-773-4462,LARAMIE
F2009,914th Fire Emergency Services,1 Fire Lane,BLDG 821,,Niagara Falls ARS,NY,14304-5011,716-236-2086,716-236-2314,NIAGARA
VC306,980 North Volunteer Fire Department,30 Lakeside DR,,,Huntsville,TX,77320-8020,936-891-3473,936-891-3473,SAN JACINTO
55001,"A & A Township Volunteer Fire Department, Inc.",PO Box 225,,PO Box 225,Eminence,IN,46125-0225,765-528-2437,765-528-2169,MORGAN
5604,A & M Volunteer Fire Department,PO Box 538,,PO Box 538,Wedowee,AL,36278-0538,256-357-0114,256-357-0114,RANDOLPH
2001,A. E. Crandall Hook & Ladder Company,PO Box 582,,PO Box 582,Alfred,NY,14802-0582,607-587-8880,607-587-8880,ALLEGANY
8041,A.A. Young Jr. Hose & Ladder Company #1 Inc,105 Hill ST,PO Box 461,,Jewett City,CT,6351,860-376-2707,860-376-3812,NEW LONDON
25540,A.F. Dobler Hose & Ladder Co.,37 Walnut ST,,,Girard,PA,16417-1630,814-774-8218,814-774-5348,ERIE
707,AASF # 1,889 Ronald Wood RD,,,Winder,GA,30680-4131,770-867-6214,404-656-6620,BARROW
AH002,AASF#2 North Carolina Army National Guard Fire Department,1235 National Guard RD,,,Salisbury,NC,28147-7948,704-359-5823,,ROWAN
1301,Abbeville City Fire/Rescue,102 S Main ST,,,Abbeville,SC,29620-2428,864-366-9461,864-366-5835,ABBEVILLE
1501,Abbeville County Fire Department HQ,17 Old Calhoun Falls,,,Abbeville,SC,29620-6503,864-366-6444,864-366-6445,ABBEVILLE
3701,Abbeville Fire & Rescue,PO Box 427,,PO Box 427,Abbeville,AL,36310-0427,334-585-2000,334-585-2038,HENRY
57001,Abbeville Fire Department,210 W Vermilion ST,,,Abbeville,LA,70510-4612,337-898-4258,337-898-4271,VERMILION
15605,Abbeville Fire/Rescue,215 S Depot ST,,,Abbeville,GA,31001,229-467-2764,229-467-2764,WILCOX
LA438,"Abbott Laboratories Fire Department, Abbott Park",200 Abbott Park RD,Dept. 07FA  BLDG J40,,Abbott Park,IL,60064-6218,847-937-2200,847-482-1017,LAKE
KP301,Abbott Volunteer Fire Department,PO Box 24,,PO Box 24,Abbott,TX,76621-0024,214-543-9916,,HILL
18501,Abbs Valley-Boissevain Volunteer Fire Department,PO Box 337,,PO Box 337,Boissevain,VA,24606-0337,276-945-2093,276-945-9548,TAZEWELL
LA448,AbbVie Industial Fire Department,1401 Sheridan RD BLDG P13,,,North Chicago,IL,60064-1803,847-937-3241,847-938-0854,LAKE
39001,Abercrombie Fire Protection District,PO Box 61,,PO Box 61,Abercrombie,ND,58001-0061,701-553-8307,,RICHLAND
6341,Aberdeen Fire Department,800 Holly ST,,,Aberdeen,NC,28315-3102,910-944-7888,910-944-9755,MOORE
14M01,Aberdeen Fire Department,700 W Market ST,,,Aberdeen,WA,98520-5915,360-532-1254,360-533-8136,GRAYS HARBOR
12002,"Aberdeen Fire Department, Inc.",21 N Rogers  ST,,,Aberdeen,MD,21001-2442,410-272-2211,410-272-2887,HARFORD
3101,Aberdeen Fire Rescue,121 2ND AVE SE,,,Aberdeen,SD,57401-4209,605-626-7048,605-626-3529,BROWN
12012,Aberdeen Proving Ground Fire & Emergency Services,2200 Aberdeen BLVD,,,Aberdeen Proving Ground,MD,21005-5001,410-306-0501,410-306-0535,HARFORD
3001,Aberdeen Rural Fire Protection District,PO Box 1241,,PO Box 1241,Aberdeen,SD,57402-1241,605-229-4823,605-229-4823,BROWN
13301,Aberdeen Township Fire & Hose District 1,490 Lloyd RD,,,Aberdeen,NJ,07747-1523,732-566-4172,732-441-0959,MONMOUTH
8001,Aberdeen-Huntington Township Volunteer Fire Department,PO Box 752,,PO Box 752,Aberdeen,OH,45101-0752,937-795-0013,937-795-2211,BROWN
11303,Aberdeen/Springfield Fire District,PO Box 852,,PO Box 852,Aberdeen,ID,83210-0852,208-397-5397,,BINGHAM
HT401,Abernathy Volunteer Fire Department,PO Box 266,,PO Box 266,Abernathy,TX,79311-0266,806-298-2233,806-298-4180,HALE
53007,Abeytas Volunteer Fire Department,PO Box 518,,PO Box 518,Bosque,NM,87006-0518,505-864-9819,,VALENCIA
25009,Abie Volunteer Fire Department,318 Maple ST,,PO Box 186,Abie,NE,68001-0186,402-543-2413,402-543-2254,BUTLER
DK201,Abilene Fire Department,PO Box 519,,PO Box 519,Abilene,KS,67410-0519,785-263-1121,785-263-1079,DICKINSON
WC701,Abilene Fire Department,250 Grape ST,,,Abilene,TX,79601-5607,325-676-6676,325-676-6673,TAYLOR
KD113,Abingdon Fire Department,117 E Meek ST,,,Abingdon,IL,61410-1505,309-462-2661,,KNOX
7301,"Abingdon Volunteer Fire and Rescue, Inc.",PO Box 9,,PO Box 9,Bena,VA,23018,804-642-2360,804-642-0695,GLOUCESTER
46129,Abington Fire Company,1920 Horace AVE,,,Abington,PA,19001-3717,267-536-1086,215-884-8271,MONTGOMERY
23001,Abington Fire Department,1040 Bedford  ST,,,Abington,MA,02351-1260,781-982-2114,781-982-2104,PLYMOUTH
89001,"Abington Township Volunteer Fire Department, Inc.",4618 Pottershop RD,,,Centerville,IN,47330-9729,765-855-3950,,WAYNE
NT409,Ables Springs Volunteer Fire Department,30000 FM 429,,,Terrell,TX,75161-0484,972-563-9557,972-563-3557,KAUFMAN
2001,Aboite Township Volunteer Fire Department,11321 Aboite Center RD,,,Fort Wayne,IN,46814-5472,260-436-1449,260-434-1669,ALLEN
42020,Abrams Fire Department,PO Box 215,,PO Box 215,Abrams,WI,54101-0215,920-826-5555,,OCONTO
32011,Absarokee Volunteer Fire Department,PO Box 302,,PO Box 302,Absarokee,MT,59001-0302,406-328-4703,,STILLWATER
1011,Absecon Fire Department,401 New Jersey AVE,,,Absecon,NJ,08201-2422,609-641-5114,609-383-0206,ATLANTIC
17002,Academy Volunteer Fire Department,35514 SD Highway 50,,,Platte,SD,57369-6011,605-726-3133,605-726-3147,CHARLES MIX
20001,Acadia/Evangeline Fire Protection District,PO Box 158,,PO Box 158,Basile,LA,70515-0158,337-432-6665,337-432-6864,EVANGELINE
1001,Acadia/Evangeline Fire Protection District,PO Box 158,,PO Box 158,Basile,LA,70515-0158,337-432-6665,337-432-6864,ACADIA
16024,Accokeek Volunteer Fire Department,16111 Livingston RD,,PO Box 226,Accokeek,MD,20607-2227,301-283-2730,,PRINCE GEORGES
31343,Ace Fire Protection Association,2123 S Elba-Almo RD,,,Malta,ID,83342-8739,208-312-9697,,CASSIA
7001,Achille Volunteer Fire Department,PO Box 190,,PO Box 190,Achille,OK,74720-0190,580-283-3200,,BRYAN
10001,Ackerman Volunteer Fire Department,PO Box 394,,PO Box 394,Ackerman,MS,39735-0394,662-285-6251,662-285-6909,CHOCTAW
42001,Ackley Fire Department,1125 1ST AVE,,,Ackley,IA,50601-1705,641-847-2428,,HARDIN
45021,Acme Hose Company # 1,380 Chestnut ST,,,E Stroudsburg,PA,18301-1958,570-421-5690,,MONROE
2401,"Acme-Delco-Riegelwood Fire-Rescue, Inc",PO Box 187,,PO Box 187,Riegelwood,NC,28456-0187,910-655-3380,,COLUMBUS
6056,Acoma Fire Rescue,PO Box 327,,PO Box 327,Pueblo of Acoma,NM,87034-0327,505-552-7500,505-552-9470,CIBOLA
57005,Acorn Rural Volunteer Fire Department,964 Polk 76E,,,Mena,AR,71953,479-394-1979,,POLK
56608,Acosta Volunteer Fire Department,PO Box 128,,PO Box 128,Acosta,PA,15520-0128,814-629-5320,814-629-5320,SOMERSET
17002,Acton Fire Department,256 Central ST,,,Acton,MA,01720-2847,978-264-9645,978-263-9887,MIDDLESEX
R1010,Acton Fire Department,1725 Route 109,,,Acton,ME,04001-5218,207-636-3230,207-636-4520,YORK
5003,Acushnet Fire & EMS,24 Russell ST,,,Acushnet,MA,02743-2224,508-998-0250,508-998-5889,BRISTOL
90199,"Acworth Volunteer Fire & Rescue Company, Inc.",PO Box 86,,PO Box 86,Acworth,NH,03601-0086,000-000-0000,,SULLIVAN
62001,Ada Fire Department,201 S Broadway AVE,,,Ada,OK,74820-5803,580-436-8071,,PONTOTOC
59020,Ada Fire Department,W3984 Highway 32,,,Elkhart Lake,WI,53020,920-565-3131,,SHEBOYGAN
4101,Ada Township Fire Department,PO Box 370,,PO Box 370,Ada,MI,49301-0370,616-676-2376,616-676-2173,KENT
54101,Ada Volunteer Fire Department,PO Box 32,,PO Box 32,Ada,MN,56510-0032,218-784-5528,,NORMAN
33115,Ada-Liberty Township Fire Department,525 N Main ST,,,Ada,OH,45810-1025,419-634-0880,,HARDIN
1009,Adair County Tri-Community Fire Department,PO Box 484,,PO Box 484,Stilwell,OK,74960-0484,918-696-5609,918-696-5609,ADAIR
1001,Adair County Volunteer Fire Department,PO Box 96,,PO Box 96,Columbia,KY,42728-0096,270-384-3278,270-384-0001,ADAIR
1001,Adair Fire and Rescue,PO Box 36,,PO Box 36,Adair,IA,50002-0036,641-742-3254,641-742-3864,ADAIR
46001,Adair Fire Department,PO Box 198,,PO Box 198,Adair,OK,74330,918-785-4299,918-785-4297,MAYES
1,Adair Rural Fire Protection District,6021 NE Marcus Harris AVE,,,Corvallis,OR,97330-9490,541-745-7212,541-745-2059,BENTON
71742,"Adairville Rural Fire Department, Inc.",PO Box 185,,PO Box 185,Adairville,KY,42202-0185,270-539-6731,270-539-5503,LOGAN
21120,Adak Volunteer Fire Department,PO Box 2011,,PO Box 2011,Adak,AK,99546-2011,907-592-4500,907-592-4262,ALEUTIANS WEST
10042,"Adams Area Fire District, Inc.",PO Box 232,,PO Box 232,Mars,PA,16046-0232,724-625-1210,724-625-7911,BUTLER
23002,Adams Center Fire Department,PO Box 248,,PO Box 248,Adams Center,NY,13606-0248,315-583-5533,315-583-6494,JEFFERSON
1030,Adams County Fire District,PO Box 735,,PO Box 735,Adams,WI,53910-0735,608-339-3011,608-339-3454,ADAMS
145,Adams County Fire Protection District,8055 N Washington ST,,,Denver,CO,80229-5818,303-539-6800,303-287-1687,ADAMS
01D07,Adams County Fire Protection District 7,PO Box 577,,PO Box 577,Washtucna,WA,99371-0577,509-646-3393,509-646-3393,ADAMS
01D01,Adams County Fire Protection District No. 1,120 West Main,,,Ritzville,WA,99169,509-659-0600,509-659-0601,ADAMS
01D05,Adams County Fire Protection District No. 5,220 S Broadway AVE,,,Othello,WA,99344-1348,509-488-2951,509-488-7808,ADAMS
32001,Adams Fire Company,7113 Nash RD,,,North Tonawanda,NY,14120-1207,716-692-3212,716-743-0599,NEW YORK
23001,Adams Fire Department,PO Box 52,,PO Box 52,Adams,NY,13605-0052,315-232-4033,315-232-4033,JEFFERSON
3004,Adams Fire Department,3 Columbia ST,,,Adams,MA,01220-1307,413-743-1929,413-743-0896,BERKSHIRE
48012,Adams Markleville Fire Protection Territory,7457 S 200 E,,,Markleville,IN,46056-9650,765-533-4373,765-533-4471,MADISON
50002,Adams Rural Fire Department,PO Box 6,,PO Box 6,Adams,ND,58210,701-944-2737,,WALSH
3001,Adams Rural Fire Department,10315 S 176 RD,,,Adams,NE,68301-8203,402-988-4795,,GAGE
11084,Adams Township Volunteer Fire Company 2,PO Box 368,,PO Box 368,Saint Michael,PA,15951-0368,814-495-4111,814-495-9376,CAMBRIA
11082,Adams Township Volunteer Fire Company Dunlo 1,PO Box 282,,PO Box 282,Dunlo,PA,15930-0282,814-487-7245,814-487-7245,CAMBRIA
3101,Adams Township Volunteer Fire Department,PO Box 520,,PO Box 520,South Range,MI,49963,906-482-4420,906-482-1073,HOUGHTON
11101,Adams Township-Rosewood Fire Department,PO Box 108,,PO Box 108,Rosewood,OH,43070-0108,937-362-2331,937-362-3568,CHAMPAIGN
74111,Adams Volunteer Fire Department,7721 Highway 41 N,,,Adams,TN,37010-4917,615-696-1267,615-696-1267,ROBERTSON
50101,Adams Volunteer Fire Department,PO Box 357,,PO Box 357,Adams,MN,55909-0357,507-582-3662,,MOWER
65010,Adamsburg & Community Volunteer Fire Department,PO Box 92,,PO Box 92,Adamsburg,PA,15611-0092,724-527-6250,724-523-2797,WESTMORELAND
36011,Adamstown Fire Company No. 1,PO Box 52,,PO Box 52,Adamstown,PA,19501-0052,717-484-4157,717-484-4203,LANCASTER
60001,Adamsville Community Fire Department,PO Box 305,,PO Box 305,Adamsville,OH,43802,740-796-3371,740-796-9583,MUSKINGUM
PK101,Adamsville Fire Department,16728 N US Highway 281,,,Lampasas,TX,76550-1178,512-734-1666,,LAMPASAS
55111,Adamsville Volunteer Fire Department,231 E Main ST,,,Adamsville,TN,38310-2317,731-632-4400,731-632-1779,MCNAIRY
WC113,Addieville Community Fire Protection District,PO Box 104,,PO Box 104,Addieville,IL,62214,618-424-7965,618-424-7965,WASHINGTON
34001,Addington Volunteer Fire Department,PO Box 2,,PO Box 2,Addington,OK,73520-0002,580-439-5381,,JEFFERSON
61001,Addis Volunteer Fire Department,PO Box 10,,PO Box 10,Addis,LA,70710-0010,225-749-6175,225-749-7102,WEST BATON ROUGE
DH501,Addison Fire Department,PO Box 9010,,PO Box 9010,Addison,TX,75001-9010,972-450-7201,972-450-7208,DALLAS
4601,Addison Fire Department,PO Box 328,,PO Box 328,Addison,MI,49220-0328,517-547-6776,517-547-4179,LENAWEE
DD162,Addison Fire Protection District #1,10 S Addison RD,,,Addison,IL,60101-3870,630-628-3100,630-543-9742,DUPAGE
6301,Addison Township Fire Department,4026 Forest ST,,,Leonard,MI,48367-1909,248-628-5600,248-628-5770,OAKLAND
56613,Addison Volunteer Fire Department,PO Box 117,,PO Box 117,Addison,PA,15411-0117,814-395-5719,814-395-5719,SOMERSET
51001,Addison Volunteer Fire Department,1 Tuscarora ST,,,Addison,NY,14801-1231,607-359-3500,,STEUBEN
1003,Addison Volunteer Fire Department,44 VT Route 17 W,,,Addison,VT,05491-9808,802-759-2337,,ADDISON
3706,Adel Fire Department,PO Box 1530,,PO Box 1530,Adel,GA,31620-1071,229-896-7375,229-896-5259,COOK
25001,Adel Volunteer Fire Department,102 S 10th ST,,PO Box 127,Adel,IA,50003-1737,515-993-6746,,DALLAS
59030,Adell Volunteer Fire Department,PO Box 100,,PO Box 100,Adell,WI,53001-0100,920-994-2260,,SHEBOYGAN
SY118,Adell-Whitt Volunteer Fire Department,PO Box 72,,PO Box 72,Whitt,TX,76490-0072,940-798-3055,,PARKER
13192,Adelphia Fire Company,925 Adelphia RD,,PO Box 125,Adelphia,NJ,07710-0125,732-577-1781,732-462-9534,MONMOUTH
155,Adger Volunteer Fire Department,7276 Johns RD,PO Box 253,,Adger,AL,35006,205-424-6310,,JEFFERSON
25005,Adin Fire Protection District,PO Box 16,,PO Box 16,Adin,CA,96006-0016,530-299-4700,530-299-4700,MODOC
53004,Adona Volunteer Fire Department,PO Box 101,,PO Box 101,Adona,AR,72001-0101,501-662-4455,,PERRY
4621,Adrian Charter Township Fire Department,2889 Tipton HWY,,,Adrian,MI,49221-9218,517-265-1314,,LENAWEE
4602,Adrian Fire Department,208 S Main ST,,,Adrian,MI,49221-2615,517-264-4879,517-264-4871,LENAWEE
53101,Adrian Fire Department,310 Maine ST,,PO Box 187,Adrian,MN,56110-0187,507-483-2849,,NOBLES
3,Adrian Rural Fire Protection District,PO Box 167,,PO Box 167,Adrian,OR,97901-0167,541-372-2220,,MALHEUR
17038,Adrian Sandy Fire Company 3,83 Guy AVE,,,Du Bois,PA,15801,814-371-7846,814-371-2840,CLEARFIELD
SS201,Adrian Volunteer Fire Department,PO Box 16,,PO Box 16,Adrian,TX,79001-0016,806-538-6223,806-536-0046,OLDHAM
49101,Adrian Volunteer Fire Department,PO Box 84,,PO Box 84,Adrian,WV,26210-0084,304-472-4736,,UPSHUR
10403,Advance Fire Department,PO Box 348,,PO Box 348,Advance,MO,63730-0348,573-722-3156,573-722-5487,STODDARD
3012,"Advance Fire Department, Inc.",PO Box 2430,,PO Box 2430,Advance,NC,27006-2430,336-998-8181,336-998-2131,DAVIE
6001,Advance Volunteer Fire Department,PO Box 4,,PO Box 4,Advance,IN,46102-0004,765-483-3377,,BOONE
17301,Adwolfe Volunteer Fire Department,PO Box 1305,,PO Box 1305,Marion,VA,24354-1305,276-783-6444,276-783-3602,SMYTH
34003,Aerojet Fire Services,HWY 50 and Hazel AVE,,PO Box 13222,Sacramento,CA,95813-6000,916-355-3473,916-355-4767,SACRAMENTO
20009,"Aetna Hose, Hook and Ladder Company",PO Box 148,,PO Box 148,Newark,DE,19715-0148,302-454-3300,302-454-3530,NEW CASTLE
9539,Affton Fire Protection District,9282 Gravois RD,,,Saint Louis,MO,63123-4526,314-631-1803,314-631-3569,SAINT LOUIS
9001,Afton Fire Department,15 Spring ST,,,Afton,NY,13730-3166,607-639-1040,607-639-1042,CHENANGO
58001,Afton Fire Department,PO Box 250,,PO Box 250,Afton,OK,74331-0250,918-257-4364,918-257-8657,OTTAWA
23501,Afton Volunteer Fire Department,PO Box 1294,,PO Box 1294,Afton,WY,83110-1294,307-885-3594,,LINCOLN
88001,Afton Volunteer Fire Department,110 W Kansas ST,,PO Box 47,Afton,IA,50830-0047,641-347-5212,641-347-5212,UNION
59001,Agar Fire Department,PO Box 124,,PO Box 124,Agar,SD,57520-0124,605-769-1477,,SULLY
3905,Agate Rural Volunteer Fire Department,PO Box 146,,PO Box 146,Agate,CO,80101,719-764-2771,719-764-2391,ELBERT
13005,Agawam Fire Department,800 Main ST,,,Agawam,MA,01001-2576,413-786-2662,413-786-1241,HAMPDEN
90001,Agency Volunteer Fire & Rescue,105 W Main ST,PO Box 266,PO Box ,Agency,IA,52530,641-937-5002,641-937-5773,WAPELLO
MA234,Agenta/Oreana Fire Protection District,5424 White Oak CT,,,Oreana,IL,62554-8063,217-468-2313,217-420-1957,MACON
464,Agness Illatie Volunteer Fire Department,PO Box 26,,PO Box 26,Agness,OR,97406,541-247-7987,,CURRY
20001,Agricola Volunteer Fire Department,127 Wright WAY,,,Lucedale,MS,39452-9551,601-508-8243,,GEORGE
3601,Agriculture Center Volunteer Fire Department,1428 Costner School RD,,,Bessemer City,NC,28016-7749,704-922-7241,704-923-8372,GASTON
SP301,Agua Dulce Volunteer Fire Department,PO Box 416,,PO Box 416,Agua Dulce,TX,78330,361-998-2211,361-998-2913,NUECES
8011,Aguila Volunteer Fire Department,PO Box 94,,PO Box 94,Aguila,AZ,85320-0094,928-685-3469,928-685-3469,MARICOPA
4201,Ahmeek Fire Department,PO Box 155,,PO Box 155,Ahmeek,MI,49901,906-337-2644,,KEWEENAW
4601,Ahoskie Fire Department,PO Box 767,,PO Box 767,Ahoskie,NC,27910-0767,252-332-3322,252-332-7781,HERTFORD
4610,Ahoskie Rural Fire Department,PO Box 43,,PO Box 43,Ahoskie,NC,27910,252-332-4011,,HERTFORD
44129,"Aid Township Volunteer Fire Department, Inc.",14110 State RT 141,,,Willow Wood,OH,45696,740-643-2198,,LAWRENCE
2301,Aiken Department of Public Safety,PO Box 1177,,PO Box 1177,Aiken,SC,29802-1177,803-642-7620,803-642-7681,AIKEN
10305,Ailey Fire Department,100 S Railroad ST,,PO Box 9,Ailey,GA,30410,912-538-4091,912-583-4281,MONTGOMERY
92001,Ainsworth Fire Department,PO Box 128,,PO Box 128,Ainsworth,IA,52201-0128,319-657-2863,,WASHINGTON
75001,Ainsworth Volunteer Fire Department,148 W 4th ST,Box,PO Box 425,Ainsworth,NE,69210,402-387-0433,402-387-1015,BROWN
,Air Force Plant 42 Fire Department,2501 E Avenue P,,PO Box ,Palmdale,CA,93551,661-272-6637,661-272-6635,LOS ANGELES
57035,"Airport Road Fire Support, Inc.",10 County Road 3002,,,Bartlesville,OK,74003-1237,418-336-0071,,OSAGE
30135,Airport-Sorgho Fire Department,PO Box 21285,,PO Box 21285,Owensboro,KY,42304-1285,270-771-4914,270-771-4108,DAVIESS
67055,Airville Volunteer Fire Company,34 Fire Company RD,,,Airville,PA,17302,717-762-3806,,YORK
32M01,Airway Heights Fire Department,1208 S Lundstrom ST,,,Airway Heights,WA,99001-9000,509-244-3322,509-244-6434,SPOKANE
1107,Aitkin Fire Department,109 First ST NW,,,Aitkin,MN,56431,218-927-3303,,AITKIN
,AK Steel Plant Protection,100 Armco DR,PO Box 832,PO Box ,Butler,PA,16003,724-284-2236,724-284-2409,BUTLER
12176,Ak-Chin Indian Community Fire Department,45401 W Farrell RD,,,Maricopa,AZ,85139-3828,520-568-1300,520-568-1301,PINAL
28110,Akhiok Volunteer Fire Department,ATTN: UPSO Simeonoff,,PO Box 5058,Akhiok,AK,99615-5058,907-836-2213,907-836-2214,KODIAK ISLAND
7911,Akron Columbia Wisner Unionville Fire,PO Box 273,,PO Box 273,Unionville,MI,48767-0273,989-674-2491,,TUSCOLA
15001,"Akron Fire Company, Inc.",1 Main ST,,PO Box 1,Akron,NY,14001,716-542-9091,716-542-3828,ERIE
77001,Akron Fire Department,81 W Thornton ST,,,Akron,OH,44311-1368,330-375-2410,330-375-2146,SUMMIT
75001,Akron Fire Department,140 S 2nd ST,PO Box 318,,Akron,IA,51001,712-568-2041,712-568-2122,PLYMOUTH
3603,Akron Volunteer Fire Department,181 1ST AVE S,,PO Box 175,Akron,AL,35441-0175,205-372-2585,,HALE
