NAME,ADDRESS,CITY,STATE,LATITUDE,LONGITUDE
DAUTERIVE HOSPITAL,600 N LEWIS AVE.,NEW IBERIA,LA,30.00690698,-91.79452385
CROCKETT MEDICAL CENTER,1100 EAST LOOP 304,CROCKETT,TX,31.32360364,-95.43889931
CENTRAL LOUISIANA STATE HOSPITAL,242 W SHAMROCK AVE,PINEVILLE,LA,31.32737894,-92.44013511
REEVES MEMORIAL MEDICAL CENTER,409 1ST ST,BERNICE,LA,32.82399167,-92.65664868
SERENITY SPRINGS SPECIALTY HOSPITAL,309 N MAIN ST,FARMERVILLE,LA,32.77612793,-92.40562585
RIVERBRIDGE SPECIALTY HOSPITAL,209 FRONT ST.,VIDALIA,LA,31.56117486,-91.42606698
CITIZENS MEDICAL CENTER,7939 HIGHWAY 165,COLUMBIA,LA,32.06003995,-92.09913767
BROWN MEMORIAL CONVALESCENT CENTER,545 COOK STREET,ROYSTON,GA,34.28325037,-83.11897237
COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,LONG BEACH,CA,33.80709287,-118.1933899
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,SAN LEANDRO,CA,37.7064062,-122.1646545
KINDRED HOSPITAL PARAMOUNT,16453 SOUTH COLORADO AVENUE,PARAMOUNT,CA,33.88463186,-118.1622671
DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,11401 BLOOMFIELD AVENUE,NORWALK,CA,33.92803135,-118.0679897
PINCKNEYVILLE COMMUNITY HOSPITAL,5383 STATE ROUTE 154,PINCKNEYVILLE,IL,38.084846,-89.349108
ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,SAVANNAH,GA,31.98543032,-81.15455637
KINDRED HOSPITAL ROME,320 TURNER MCCALL BOULEVARD,ROME,GA,34.25971345,-85.18023963
UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,THOMASTON,GA,32.8862977,-84.33650699
PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,AMERICUS,GA,32.06696234,-84.2560502
ROOSEVELT WARM SPRINGS LTAC HOSPITAL,6135 ROOSEVELT HIGHWAY,WARM SPRINGS,GA,32.88798074,-84.6923449
SOUTHEASTERN REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PKWY,NEWNAN,GA,33.38483465,-84.75774669
DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA,"CALLE FERNANDEZ JUNCOS, EDIFICIO JESUS T. PINEIRO",CAROLINA,PR,18.380443,-65.95579
BROWN CTY COMMUNITY TREATMENT CENTER,3150 GERSHWIN DRIVE,GREEN BAY,WI,44.52271226,-87.92482708
WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,10000 WEST BLUEMOUND ROAD,WAUWATOSA,WI,43.03581215,-88.03726582
HOSPITAL PSIQUIATRICO DE NINOS YADOLESCENTES,"AVE LAUREL 100, URB. SANTA JUANITA",BAYAMON,PR,18.36765566,-66.15439126
COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,6410 MASONIC DRIVE,ALEXANDRIA,LA,31.25219156,-92.48198781
OCSHNER ST. ANNE GENERAL HOSPITAL,4608 HIGHWAY 1,RACELAND,LA,29.70267142,-90.5652539
FELICIANA FORENSIC FACILITY,4502 HWY 951,JACKSON,LA,30.83263569,-91.21066049
UNITED MEDICAL HEALTHWEST-NEW ORLEANS,3201 WALL BOULEVARD,GRETNA,LA,29.86597947,-90.03069185
RIPON MEDICAL CENTER,845 PARKSIDE ST,RIPON,WI,43.83437609,-88.81775153
VA MEDICAL CENTER - PROVIDENCE,830 CHALKSTONE AVE,PROVIDENCE,RI,41.83213908,-71.43314954
TOMAH VA MEDICAL CENTER,500 E VETERANS ST,TOMAH,WI,44.00308068,-90.49331901
ASCENSION GOOD SAMARITAN HLTH CTR,601 S CENTER AVE,MERRILL,WI,45.17563254,-89.68183128
RESTPADD PSYCHIATRIC HEALTH FACILITY,2750 EUREKA WAY,REDDING,CA,40.58659539,-122.4119741
THE CHAMPION CENTER,303 SOUTH C STREET,LOMPOC,CA,34.63537161,-120.4521883
STEWART WEBSTER HOSPITAL,580 ALSTON STREET,RICHLAND,GA,32.08616827,-84.66069977
KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS,2295 S. VINEYARD AVENUE,ONTARIO,CA,34.03207956,-117.6085993
LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,25333 BARTON ROAD,LOMA LINDA,CA,34.04730564,-117.2516368
ST. BERNARDINE MEDICAL CENTER,2101 NORTH WATERMAN AVENUE,SAN BERNARDINO,CA,34.13467236,-117.27702
KAISER FND HOSP - SAN DIEGO,4647 ZION AVENUE,SAN DIEGO,CA,32.79156258,-117.0951595
SCRIPPS GREEN HOSPITAL,10666 NORTH TORREY PINES ROAD,LA JOLLA,CA,32.8968589,-117.2428711
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DRIVE,ENCINITAS,CA,33.03734478,-117.2841834
SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,3003 HEALTH CENTER DRIVE,SAN DIEGO,CA,32.79829578,-117.1549778
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,200 WEST ARBOR DRIVE,SAN DIEGO,CA,32.75477023,-117.1657314
CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,3700 CALIFORNIA STREET,SAN FRANCISCO,CA,37.7865092,-122.4560306
CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,2333 BUCHANAN STREET,SAN FRANCISCO,CA,37.79070454,-122.4312945
"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",450 STANYAN STREET,SAN FRANCISCO,CA,37.77408876,-122.4537516
KAISER FND HOSP - SANTA ROSA,401 BICENTENNIAL WAY,SANTA ROSA,CA,38.47179301,-122.7270644
KAISER FND HOSP - REHABILITATION CENTER VALLEJO,975 SERENO DRIVE,VALLEJO,CA,38.12690208,-122.2483773
WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,38.66392502,-121.7921452
ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,3100 SUMMIT STREET,OAKLAND,CA,37.82013961,-122.2640042
SAN LEANDRO HOSPITAL,13855 EAST 14TH STREET,SAN LEANDRO,CA,37.71228835,-122.1434937
ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,CA,37.63344199,-122.0879125
ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,2510 NORTH CALIFORNIA STREET,STOCKTON,CA,37.9765963,-121.2910709
ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 NORTH CALIFORNIA STREET,STOCKTON,CA,37.97046719,-121.2881828
FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,250 SOUTH GRAND AVENUE,GLENDORA,CA,34.13265458,-117.8712597
GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,1420 SOUTH CENTRAL AVENUE,GLENDALE,CA,34.12816563,-118.2566432
KAISER FOUNDATION LOS ANGELES MEDICAL CENTER,4867 SUNSET BOULEVARD,LOS ANGELES,CA,34.09857365,-118.2941753
KAISER PERMANENTE PANORAMA CITY,13652 CANTARA STREET,PANORAMA CITY,CA,34.21856419,-118.4302193
PROVIDENCE TARZANA MEDICAL CENTER,18321 CLARK STREET,TARZANA,CA,34.17039322,-118.5319041
SHRINERS HOSPITAL FOR CHILDREN - L.A.,3160 GENEVA STREET,LOS ANGELES,CA,34.06720478,-118.2863921
GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,21530 SOUTH PIONEER BOULEVARD,HAWAIIAN GARDENS,CA,33.83364001,-118.079678
ADVENTIST HEALTH CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,CA,38.93561886,-122.6201445
VALLEY CHILDREN'S HOSPITAL,9300 VALLEY CHILDREN'S PLACE,MADERA,CA,36.88404783,-119.8002424
EISENHOWER MEDICAL CENTER,39-000 BOB HOPE DRIVE,RANCHO MIRAGE,CA,33.76335207,-116.4062411
GOOD SAMARITAN HOSPITAL-SAN JOSE,2425 SAMARITAN DRIVE,SAN JOSE,CA,37.25207874,-121.9465769
KAISER FND HOSP - SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,37.33540138,-121.998873
LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD,725 WELCH ROAD,PALO ALTO,CA,37.43600458,-122.17539
KAISER FND HOSP - REDWOOD CITY,1100 VETERANS BOULEVARD,REDWOOD CITY,CA,37.48884784,-122.2233901
JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,2540 EAST STREET,CONCORD,CA,37.98308958,-122.0334968
SUTTER DELTA MEDICAL CENTER,3901 LONE TREE WAY,ANTIOCH,CA,37.98223445,-121.8029785
KAISER FND HOSP - SACRAMENTO,2025 MORSE AVENUE,SACRAMENTO,CA,38.60179775,-121.393144
SIERRA NEVADA MEMORIAL HOSPITAL,155 GLASSON WAY,GRASS VALLEY,CA,39.22801629,-121.0474998
LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER STREET,LA PALMA,CA,33.84751418,-118.0383023
SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,654 CAMINO DE LOS MARES,SAN CLEMENTE,CA,33.45706524,-117.6501839
FREMONT MEDICAL CENTER,970 PLUMAS STREET,YUBA CITY,CA,39.14310632,-121.618012
PIEDMONT MOUNTAINSIDE HOSPITAL,1266 EAST CHURCH STREET,JASPER,GA,34.45824868,-84.41291289
ST MARYS HEALTH CARE SYSTEM,1230 BAXTER STREET,ATHENS,GA,33.94722132,-83.40525246
RIDGEVIEW INSTITUTE,3995 SOUTH COBB DRIVE SE,SMYRNA,GA,33.85644329,-84.51105483
WESTERLY HOSPITAL,25 WELLS ST,WESTERLY,RI,41.36218908,-71.82530324
ST MARYS HOSPITAL MADISON,700 SOUTH PARK ST,MADISON,WI,43.05933846,-89.40142922
AURORA PSYCHIATRIC HSPTL,1220 DEWEY AVE,WAUWATOSA,WI,43.0467651,-88.00771643
COLUMBIA CENTER,13125 N PORT WASHINGTON RD,MEQUON,WI,43.25667793,-87.92615796
THEDACARE MEDICAL CENTER BERLIN,225 MEMORIAL DRIVE,BERLIN,WI,43.97847715,-88.94122636
MERCY HOSPITAL ROGERS,2710 RIFE MEDICAL LANE,ROGERS,AR,36.30899285,-94.18297802
ST CROIX REG MED CTR,235 STATE STREET,SAINT CROIX FALLS,WI,45.40903243,-92.64257812
WESTFIELDS HOSPITAL,535 HOSPITAL RD,NEW RICHMOND,WI,45.11776075,-92.55550038
ST NICHOLAS HOSPITAL,3100 SUPERIOR AVE,SHEBOYGAN,WI,43.7623479,-87.74753796
VERNON MEM HSPTL,507 SOUTH MAIN ST,VIROQUA,WI,43.55167397,-90.88839128
PIH HOSPITAL - DOWNEY,11500 BROOKSHIRE AVENUE,DOWNEY,CA,33.9343518,-118.130904
PROVIDENCE LITTLE COMPANY OF MARY TRANSITIONAL CARE CENTER,4320 MARICOPA STREET,TORRANCE,CA,33.83934812,-118.3597215
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,11234 ANDERSON STREET,LOMA LINDA,CA,34.05013083,-117.2640945
ASCENSION NE WISCONSIN MERCY CAMPUS,500 S OAKWOOD RD,OSHKOSH,WI,44.01242072,-88.60104549
MEDSTAR-GEORGETOWN UNIVERSITY MEDICAL CENTER,"3800 RESERVOIR ROAD, NW",WASHINGTON,DC,38.91195851,-77.07525457
ADVENT HEALTH DADE CITY,13100 FORT KING RD,DADE CITY,FL,28.34796286,-82.20072008
DELRAY MEDICAL CENTER,5352 LINTON BLVD,DELRAY BEACH,FL,26.43719284,-80.12778775
POINCIANA MEDICAL CENTER,325 CYPRESS PKWY,KISSIMMEE,FL,28.14478076,-81.47668786
ARBOUR FULLER HOSPITAL,200 MAY STREET,ATTLEBORO,MA,41.92408385,-71.36112256
ARBOUR HUMAN RESOURCE INSTITUTE,227 BABCOCK STREET,BROOKLINE,MA,42.35077951,-71.12124228
ASSENCION ST. VINCENT'S MEDICAL CENTER CLAY COUNTY,1670 ST. VINCENT'S WAY,MIDDLEBURG,FL,30.10876243,-81.83268869
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA,2275 SW 22ND LANE,OCALA,FL,29.16587554,-82.16233494
"NATCHAUG HOSPITAL, INC.",189 STORRS RD,MANSFIELD CENTER,CT,41.74110392,-72.19801148
ENCOMPASS HEALTH REHABILITATION HOSPITAL AT MARTIN HEALTH,5850 SE COMMUNITY DR,STUART,FL,27.13343729,-80.22245582
SHRINERS' HOSPITAL FOR CHILDREN,51 BLOSSOM ST,BOSTON,MA,42.36309255,-71.06630188
SPAULDING REHABILITATION HOSPITAL,300 1ST AVE,BOSTON,MA,42.37850908,-71.04905555
DR JOHN C CORRIGAN MENTAL HEALTH CENTER,49 HILLSIDE STREET,FALL RIVER,MA,41.70748691,-71.14571447
BAY RIDGE HOSPITAL BEVERLY,60 GRANITE STREET,LYNN,MA,42.47162011,-70.95676093
ENCOMPASS HEALTH HOSPITAL OF WESTERN MASS,222 STATE STREET,LUDLOW,MA,42.15577594,-72.47207734
T J HEALTH COLUMBIA,901 WESTLAKE DRIVE,COLUMBIA,KY,37.09664157,-85.29454565
DECATUR COUNTY HOSPITAL,1405 NORTHWEST CHURCH STREET,LEON,IA,40.75093467,-93.74694077
ANDERSON COUNTY HOSPITAL,421 SOUTH MAPLE STREET,GARNETT,KS,38.279877,-95.25033865
KEARNY COUNTY HOSPITAL,500 THORPE STREET,LAKIN,KS,37.94659327,-101.2519299
OTTAWA COUNTY HEALTH CENTER,215 E 8TH STREET,MINNEAPOLIS,KS,39.12933196,-97.70394425
BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,148 CHESTNUT STREET,NEEDHAM,MA,42.2771,-71.2369
VIBRA HOSPITAL OF SOUTHWESTERN MASSACHUSETTS,4499 ACUSHNET AVENUE,NEW BEDFORD,MA,41.74072523,-70.94575361
NORWOOD HOSPITAL,800 WASHINGTON ROAD,NORWOOD,MA,42.189,-71.2021
SPAULDING REHABILITATION HOSPITAL CAPE COD,311 SERVICE ROAD,SANDWICH,MA,41.7329845,-70.46810284
CAMBRIDGE HEALTH ALLIANCE - SOMERVILLE CAMPUS,230 HIGHLAND AVENUE,SOMERVILLE,MA,42.39,-71.1094
SHRINERS' HOSPITAL FOR CHILDREN,516 CAREW ST,SPRINGFIELD,MA,42.12131503,-72.59237295
MERCY HOSPITAL FORT SMITH,7301 ROGERS AVENUE,FORT SMITH,AR,35.35586599,-94.35205497
HEALTHSOUTH REHABILITATION HOSPITAL OF FORT SMITH,1401 SOUTH J STREET,FORT SMITH,AR,35.37394031,-94.41875448
WHITE COUNTY MEDICAL CENTER - SOUTH CAMPUS,1200 SOUTH MAIN STREET,SEARCY,AR,35.23409441,-91.73107431
WHITE COUNTY MEDICAL CENTER - NORTH CAMPUS,3214 EAST RACE AVENUE,SEARCY,AR,35.25188604,-91.69700113
RIVER VALLEY MEDICAL CENTER,200 NORTH THIRD STREET,DARDANELLE,AR,35.22047614,-93.15729817
BAPTIST HEALTH MEDICAL CENTER - ARKADELPHIA,3050 TWIN RIVERS DRIVE,ARKADELPHIA,AR,34.12291357,-93.08882416
MERCY HOSPITAL BERRYVILLE,214 CARTER STREET,BERRYVILLE,AR,36.3590621,-93.55182577
EUREKA SPRINGS HOSPITAL,24 NORRIS STREET,EUREKA SPRINGS,AR,36.40016379,-93.74423592
SOUTHEAST REHABILITATION HOSPITAL,2729A HWY 65 & 82 S,LAKE VILLAGE,AR,33.30629397,-91.28958992
BRADLEY COUNTY MEDICAL CENTER,404 SOUTH BRADLEY STREET,WARREN,AR,33.61036413,-92.05925489
FIVE RIVER MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,POCAHONTAS,AR,36.28976027,-90.99738763
DALLAS COUNTY MEDICAL CENTER,201 NORTH CLIFTON STREET,FORDYCE,AR,33.81085539,-92.42558764
CRITTENDEN HOSPITAL ASSOCIATION,200 WEST TYLER AVENUE,WEST MEMPHIS,AR,35.14311024,-90.18909851
OUACHITA CO. MEDICAL CENTER,638 CALIFORNIA AVENUE,CAMDEN,AR,33.57582113,-92.83673933
NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH WILLOW,HARRISON,AR,36.23653136,-93.10913937
STONE COUNTY MEDICAL CENTER,"2106 EAST MAIN STREET, HIGHWAY 14 EAST",MOUNTAIN VIEW,AR,35.85658313,-92.08286453
PIGGOTT COMMUNITY HOSPITAL,1206 GORDON DUCKWORTH DRIVE,PIGGOTT,AR,36.39011947,-90.20483796
BAPTIST HEALTH - HEBER SPRINGS,1800 BYPASS ROAD,HEBER SPRINGS,AR,35.48856958,-92.05798114
ST. VINCENT MORRILTON,4 HOSPITAL DRIVE,MORRILTON,AR,35.16801491,-92.72135132
UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET,LITTLE ROCK,AR,34.74902515,-92.32013731
BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,LITTLE ROCK,AR,34.78365489,-92.22340916
UNITED METHODIST BEHAVIORAL HEALTH SYSTEMS,1601 MURPHY DRIVE,MAUMELLE,AR,34.87643567,-92.39441325
LEO N. LEVI NATIONAL ARTHRITIS HOSPITAL,300 PROSPECT AVENUE,HOT SPRINGS,AR,34.50989707,-93.05757749
HOT SPRINGS REHABILITATION CENTER,105 RESERVE STREET,HOT SPRINGS,AR,34.51212501,-93.05260787
CHI ST VINCENT HOSPITAL HOT SPRINGS,300 WERNER STREET,HOT SPRINGS,AR,34.46802567,-93.06627041
BAPTIST HEALTH MEDICAL CENTER - HOT SPRING COUNTY,1001 SCHNEIDER DRIVE,MALVERN,AR,34.35877404,-92.7858884
ARKANSAS DEPT. OF CORRECTION-DIAGNOSTIC UNIT,7500 CORRECTIONS CIRCLE,PINE BLUFF,AR,34.22219143,-92.08268605
JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,PINE BLUFF,AR,34.18773469,-92.0176802
HEALTHSOUTH REHABILITATION HOSPITAL,153 EAST MONTE PAINTER DRIVE,FAYETTEVILLE,AR,36.10909938,-94.15484504
"MEMORIAL HEALTH UNIV MED CEN, INC",4700 WATERS AVENUE,SAVANNAH,GA,32.03053088,-81.08886242
VANTAGE POINT OF NORTHWEST ARKANSAS,4253 CROSSOVER ROAD,FAYETTEVILLE,AR,36.12789076,-94.11985143
NORTHWEST MEDICAL CENTER - WILLOW CREEK WOMEN'S HOSPITAL,4301 GREATHOUSE SPRINGS ROAD,SPRINGDALE,AR,36.13551027,-94.18621922
ASCENSION NE WISCONSIN ST. ELIZABETH HOSPITAL,1506 S ONEIDA ST,APPLETON,WI,44.24825124,-88.40250968
MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET,MENA,AR,34.5890536,-94.22163124
MERCY HOSPITAL BOONEVILLE,880 WEST MAIN STREET,BOONEVILLE,AR,35.14032192,-93.93517063
MERCY HOSPITAL PARIS,500 EAST ACADEMY,PARIS,AR,35.28929334,-93.72487855
CROSSRIDGE COMMUNITY HOSPITAL,310 SOUTH FALLS BOULEVARD,WYNNE,AR,35.21955792,-90.78664054
BAPTIST HEALTH REHABILITATION INSTITUTE,9601 BAPTIST HEALTH DRIVE,LITTLE ROCK,AR,34.74429608,-92.38181609
ASCENSION SACRED HEART REHAB INST,2301 NORTH LAKE DRIVE,MILWAUKEE,WI,43.06145544,-87.88038438
SANTA CRUZ VALLEY HOSPITAL,4455 SOUTH I-19 FRONTAGE RD,GREEN VALLEY,AZ,31.80657111,-111.0100185
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,1703 NORTH BUERKLE ROAD,STUTTGART,AR,34.5175108,-91.55829954
CASEY COUNTY HOSPITAL,187 WOLFORD AVENUE,LIBERTY,KY,37.31771681,-84.93317191
MARCUM AND WALLACE MEMORIAL HOSPITAL,60 MERCY COURT,IRVINE,KY,37.7061971,-83.97727714
HIGHLANDS REGIONAL MEDICAL CENTER,5000 KENTUCKY ROUTE 321,PRESTONSBURG,KY,37.72901006,-82.76732008
NORTON WOMEN'S AND KOSAIR CHILDREN'S HOSPITAL,4001 DUTCHMANS LANE,LOUISVILLE,KY,38.23533009,-85.63293693
SAINTS MARY & ELIZABETH HOSPITAL,1850 BLUEGRASS AVENUE,LOUISVILLE,KY,38.17826438,-85.79391641
THE BROOK - DUPONT,1405 BROWNS LANE,LOUISVILLE,KY,38.23569663,-85.62734095
BAPTIST HEALTH LA GRANGE,1025 NEW MOODY LANE,LAGRANGE,KY,38.39489019,-85.37606515
ADCARE HOSPITAL OF WORCESTER INC,107 LINCOLN STREET,WORCESTER,MA,42.27641208,-71.79491979
EDITH NOURSE ROGERS MEMORIAL VETERANS HOSPITAL,200 SPRINGS ROAD,BEDFORD,MA,42.5047,-71.2744
AMESBURY HEALTH CENTER,24 MORRILL PLACE,AMESBURY,MA,42.8484144,-70.93338025
BETH ISRAEL DEACONESS MEDICAL CENTER - WEST CAMPUS,ONE DEACONESS RD,BOSTON,MA,42.3379,-71.1092
"ARBOUR HOSPITAL, THE",49 ROBINWOOD AVENUE,BOSTON,MA,42.31581841,-71.11227314
BEVERLY HOSPITAL ADDISON GILBERT CAMPUS,298 WASHINGTON STREET,GLOUCESTER,MA,42.6255,-70.6806
VIBRA HOSPITAL OF WESTERN MASS CENTRAL CAMPUS,111 HUNTOON MEMORIAL HIGHWAY,LEICESTER,MA,42.20189928,-71.89882734
WORCESTER RECOVERY CENTER AND HOSPITAL,309 BELMONT STREET,WORCESTER,MA,42.27966719,-71.76906694
HOULTON REGIONAL HOSPITAL,20 HARTFORD STREET,HOULTON,ME,46.13384624,-67.84362347
NORTHERN LIGHT INLAND HOSPITAL,200 KENNEDY MEMORIAL DRIVE,WATERVILLE,ME,44.54182648,-69.66149107
MAINEGENERAL MEDICAL CENTER,6 EAST CHESTNUT STREET,AUGUSTA,ME,44.31311976,-69.76843437
MAINEGENERAL MEDICAL CENTER-SETON,30 CHASE AVENUE,WATERVILLE,ME,44.54919273,-69.65867356
SAINT ANDREWS HOSPITAL AND HEALTHCARE CENTER,6 SAINT ANDREWS LANE,BOOTHBAY HARBOR,ME,43.85034393,-69.6387693
MIDMICHIGAN MEDICAL CENTER-GLADWIN,515 QUARTER STREET,GLADWIN,MI,43.97594367,-84.49388756
HELEN NEWBERRY JOY HOSPITAL,502 W HARRIE ST,NEWBERRY,MI,46.35318009,-85.51565374
MUNISING MEMORIAL HOSPITAL,1500 SAND POINT RD,MUNISING,MI,46.42527107,-86.6251853
BOURNEWOOD HOSPITAL,300 SOUTH STREET,BROOKLINE,MA,42.29831857,-71.14928568
SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,620 BYRON RD,HOWELL,MI,42.61558756,-83.9409904
HILLSDALE COMMUNITY HEALTH CENTER,168 S HOWELL STREET,HILLSDALE,MI,41.91173869,-84.63300353
DMC SURGERY HOSPITAL,30671 STEPHENSON HIGHWAY,MADISON HEIGHTS,MI,42.51788754,-83.12010727
"LAKELAND COMMUNITY HOSPITAL, WATERVLIET",400 MEDICAL PARK DR,WATERVLIET,MI,42.18488046,-86.24992583
MCLAREN CENTRAL MICHIGAN,1221 SOUTH DRIVE,MOUNT PLEASANT,MI,43.59912248,-84.76141286
SPECTRUM HEALTH LUDINGTON HOSPITAL,1 N ATKINSON DRIVE,LUDINGTON,MI,43.95814794,-86.43040938
BRONSON LAKEVIEW HOSPITAL,408 HAZEN STREET,PAW PAW,MI,42.22129436,-85.89707006
DECKERVILLE COMMUNITY HOSPITAL,3559 PINE ST,DECKERVILLE,MI,43.52811921,-82.73424915
HENRY FORD HOSPITAL,2799 W GRAND BLVD,DETROIT,MI,42.36768678,-83.08472312
MAYO CLINIC HEALTH SYS ALBT LE,404 WEST FOUNTAIN STREET,ALBERT LEA,MN,43.6523607,-93.3727523
MAYO CLINIC HEALTH SYS CF,32021 COUNTY 24 BOULEVARD,CANNON FALLS,MN,44.48616464,-92.9032023
MAYO CLINIC HEALTH SYS FAIRMNT,"800 MEDICAL CTR DRIVE, PO 800",FAIRMONT,MN,43.63880146,-94.450437
MAYO CLINIC HEALTH SYSTEM S F,625 JACKSON ST N,SPRINGFIELD,MN,44.24661914,-94.97108361
HARRY S. TRUMAN MEMORIAL VETERANS HOSPITAL,800 HOSPITAL DR,COLUMBIA,MO,38.93666726,-92.32905785
VIBRA HOSPITAL OF CENTRAL DAKOTAS,1000 18TH ST NW,MANDAN,ND,46.8418693,-100.9076977
JACOBSON MEMORIAL HOSPITAL & CARE CENTER,601 EAST ST N,ELGIN,ND,46.40732581,-101.8414635
COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,1515 N MADISON AVE,ANDERSON,IN,40.13064559,-85.69320918
MEMORIAL HOSPITAL OF SOUTH BEND,615 N MICHIGAN ST,SOUTH BEND,IN,41.68405529,-86.25157885
COMPLEX CARE HOSPITAL AT TENAYA,2500 NORTH TENAYA,LAS VEGAS,NV,36.20553077,-115.2503564
